#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:40:33]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	oscan   	latin   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
           1 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.26204819 	0.99990000 	0.31626506 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.42469880 	0.99990000 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           2 	0.99965663 	0.13029170 	0.91737357 	0.53692678 	0.98485471 	0.99982061 	0.28905139 	0.99992548 	0.31211225 	0.99934224 	0.88239366 	0.99942881 	0.99977320 	0.99994242 	0.85131385 	0.99446716 	0.99952599 	0.39429616 	0.99991152 	0.95736818 	0.95023777 	0.90485024 	0.99997255 	0.99983699 	
           3 	0.99966893 	0.10018705 	0.90945646 	0.53334172 	0.98576522 	0.99891315 	0.26444215 	0.99977466 	0.31719193 	0.99859910 	0.89486419 	0.99902838 	0.99992014 	0.99983028 	0.87751815 	0.97864216 	0.99783306 	0.37332993 	0.99994467 	0.93124044 	0.97173347 	0.92286687 	0.99996245 	0.99979825 	
           4 	0.99990210 	0.12324717 	0.94178113 	0.54565280 	0.99164180 	0.99903335 	0.28763095 	0.99974143 	0.33520534 	0.99337851 	0.89763782 	0.99819141 	0.99993561 	0.99991461 	0.85526207 	0.98743465 	0.99720899 	0.38986235 	0.99990691 	0.90414183 	0.96860641 	0.91250782 	0.99996317 	0.99951137 	
           5 	0.99943396 	0.13745373 	0.90706740 	0.52744975 	0.99413724 	0.99968078 	0.24982795 	0.99927853 	0.32309430 	0.99643226 	0.89629795 	0.99955114 	0.99984678 	0.99976387 	0.85371487 	0.97953256 	0.99577841 	0.36269786 	0.99888398 	0.92389213 	0.95606568 	0.89363127 	0.99982121 	0.99590641 	
           6 	0.99915636 	0.14137198 	0.93581705 	0.53225774 	0.98677522 	0.99970180 	0.21830094 	0.99597149 	0.27029885 	0.99946534 	0.87859720 	0.99648726 	0.99967290 	0.99909027 	0.82872652 	0.98233513 	0.99835690 	0.39563556 	0.99945434 	0.95820091 	0.95910167 	0.92337673 	0.99986990 	0.99776919 	
           7 	0.99812499 	0.12909771 	0.93448879 	0.49936075 	0.98147585 	0.99983405 	0.26978838 	0.99582301 	0.28505451 	0.99985297 	0.91198136 	0.98668856 	0.99897583 	0.99938276 	0.83907816 	0.98354273 	0.99808817 	0.38699604 	0.99954583 	0.94252456 	0.95353388 	0.89513600 	0.99993425 	0.99867446 	
           8 	0.99779229 	0.12434607 	0.89811453 	0.51885080 	0.98823382 	0.99709124 	0.25349339 	0.99689640 	0.28115377 	0.99971329 	0.92121635 	0.99424544 	0.99748519 	0.99493830 	0.86926941 	0.99049263 	0.99706515 	0.41963945 	0.99973873 	0.92713153 	0.95394676 	0.93006938 	0.99995272 	0.99888871 	
           9 	0.99922278 	0.14420684 	0.91359647 	0.50532006 	0.99320301 	0.98561007 	0.27042496 	0.99621770 	0.29745797 	0.99986335 	0.89800925 	0.99600094 	0.99646110 	0.99375082 	0.87223452 	0.99167527 	0.99331597 	0.42594376 	0.99847187 	0.95547237 	0.95582557 	0.91235355 	0.99985810 	0.99806044 	
          10 	0.99957212 	0.13752745 	0.90990658 	0.49734218 	0.98735073 	0.99799748 	0.24944612 	0.99484053 	0.27725646 	0.99983384 	0.89507652 	0.99873071 	0.99486119 	0.99512551 	0.86189672 	0.99577542 	0.99307482 	0.38436204 	0.99667784 	0.93773413 	0.92613046 	0.92151803 	0.99976519 	0.99683718 	
