#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:46:41]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	umbrian   	latin   	oscan   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
           1 	0.99990000 	0.13554217 	0.54216867 	0.92168675 	0.99096386 	0.99990000 	0.31626506 	0.99990000 	0.26204819 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.42469880 	0.99990000 	0.94879518 	0.92168675 	0.96084337 	0.99990000 	0.99990000 	
           2 	0.99980783 	0.06093115 	0.21740138 	0.84162199 	0.99004229 	0.99989565 	0.01593653 	0.99946854 	0.49311604 	0.99984278 	0.62708010 	0.99999563 	0.99992932 	0.99975605 	0.16864214 	0.99342462 	0.99374783 	0.25328536 	0.99974171 	0.47260221 	0.46128514 	0.91113208 	0.99996703 	0.99834117 	
           3 	0.99669725 	0.64201298 	0.62307883 	0.50682730 	0.97588689 	0.99993788 	0.71470340 	0.99839370 	0.06126429 	0.99973407 	0.12879632 	0.99999143 	0.99990984 	0.99896018 	0.13438328 	0.99075274 	0.99217233 	0.77626591 	0.99980263 	0.14785477 	0.09241723 	0.82742019 	0.99985116 	0.98942487 	
           4 	0.99166326 	0.35239607 	0.05078414 	0.31241723 	0.94671940 	0.99970764 	0.43185234 	0.99310079 	0.78024011 	0.99578930 	0.85572060 	0.99999441 	0.99995885 	0.99900580 	0.61497802 	0.94788329 	0.99338438 	0.16523423 	0.99899198 	0.17354931 	0.56585508 	0.88653463 	0.99983525 	0.99111608 	
           5 	0.99274315 	0.19322088 	0.38568660 	0.41273671 	0.90067620 	0.99981438 	0.31310906 	0.99210547 	0.95334408 	0.96876494 	0.67664701 	0.99982587 	0.99987776 	0.99914132 	0.05238755 	0.80040955 	0.98289003 	0.08588437 	0.99881675 	0.17694462 	0.68318662 	0.88021908 	0.99973925 	0.99163238 	
           6 	0.94361814 	0.72579674 	0.40782840 	0.54305016 	0.95253988 	0.99977190 	0.04425638 	0.99822219 	0.90966305 	0.74283945 	0.38276381 	0.99995632 	0.99920007 	0.99947382 	0.05837801 	0.26010416 	0.74467985 	0.30781537 	0.99880466 	0.51918928 	0.96399967 	0.88717267 	0.99989982 	0.97599743 	
           7 	0.43304538 	0.25813029 	0.02208135 	0.21401954 	0.51991553 	0.99992853 	0.27891212 	0.99310227 	0.32806001 	0.73067290 	0.67513956 	0.99992998 	0.99371784 	0.99259811 	0.49748803 	0.29985796 	0.62352814 	0.39127193 	0.98890932 	0.05597867 	0.99280966 	0.51166244 	0.99963648 	0.80513131 	
           8 	0.56801496 	0.74823182 	0.75617245 	0.01452754 	0.26276096 	0.99931037 	0.46759616 	0.99407721 	0.60704556 	0.08746454 	0.47479358 	0.99984132 	0.99549334 	0.95958698 	0.05897493 	0.51924304 	0.62500509 	0.51913353 	0.88100837 	0.27940688 	0.99023133 	0.45454688 	0.99703415 	0.74821333 	
           9 	0.48559359 	0.53393194 	0.44030138 	0.32738624 	0.87690705 	0.99921369 	0.57936583 	0.99790348 	0.07516309 	0.06983616 	0.68522187 	0.99984395 	0.97654474 	0.97312437 	0.24982339 	0.81327896 	0.02270463 	0.75641764 	0.60410302 	0.11768800 	0.96166231 	0.53544220 	0.99865905 	0.06912144 	
          10 	0.60140065 	0.93109860 	0.07890588 	0.02660358 	0.08210148 	0.99922837 	0.49593643 	0.98862949 	0.01103845 	0.10068801 	0.19758847 	0.99939441 	0.92689546 	0.94548085 	0.64037760 	0.15235126 	0.83896716 	0.93148441 	0.50314331 	0.77322638 	0.93344913 	0.57456236 	0.99685003 	0.79349694 	
          11 	0.65719898 	0.92481355 	0.29626305 	0.33935104 	0.41095862 	0.99933893 	0.68098629 	0.95600978 	0.32839722 	0.68821558 	0.03709077 	0.99967528 	0.54935566 	0.98476315 	0.39459412 	0.81661548 	0.90533502 	0.80695933 	0.64501773 	0.43884198 	0.88014515 	0.38332414 	0.99933121 	0.89401553 	
          12 	0.75528860 	0.95570762 	0.22064608 	0.89947195 	0.07330447 	0.99762817 	0.41589746 	0.70770197 	0.02041128 	0.52651293 	0.52895294 	0.99990332 	0.71574321 	0.96521508 	0.81628064 	0.59340612 	0.39801459 	0.42540912 	0.74741793 	0.50104525 	0.38612932 	0.53343902 	0.99909071 	0.94920961 	
          13 	0.18985917 	0.97182314 	0.00617959 	0.91062003 	0.34358445 	0.99806133 	0.72827629 	0.03373503 	0.58690491 	0.68858786 	0.11331535 	0.99989189 	0.44098787 	0.97666896 	0.65226158 	0.85054800 	0.14441110 	0.16940446 	0.70021448 	0.43550021 	0.47623745 	0.62143010 	0.99979513 	0.74481127 	
          14 	0.50873117 	0.73578256 	0.17975190 	0.83781491 	0.61560034 	0.99553471 	0.29653403 	0.64358780 	0.03082394 	0.15906450 	0.08728587 	0.99917022 	0.34308445 	0.97283306 	0.18106216 	0.81578353 	0.40370414 	0.51220519 	0.78663766 	0.01382814 	0.40917497 	0.42057430 	0.99969216 	0.44445503 	
          15 	0.55490261 	0.93057457 	0.64453435 	0.36457091 	0.65365881 	0.98549921 	0.06742143 	0.78959981 	0.18897974 	0.15737257 	0.89560601 	0.98657719 	0.34998024 	0.77869532 	0.74394135 	0.08873390 	0.68027766 	0.90442143 	0.45372847 	0.34008316 	0.05439348 	0.10081689 	0.99902523 	0.30517237 	
          16 	0.80063462 	0.96341217 	0.70488585 	0.49871355 	0.11456688 	0.97444210 	0.18266621 	0.69376193 	0.26296141 	0.57431409 	0.83114672 	0.99044645 	0.01586123 	0.47594186 	0.89252715 	0.42653887 	0.80171666 	0.97199852 	0.02251633 	0.83869210 	0.61310092 	0.64702712 	0.99512545 	0.04762696 	
          17 	0.87572352 	0.90381325 	0.69868706 	0.66947411 	0.29614982 	0.94762524 	0.61780830 	0.35087918 	0.21843751 	0.41776495 	0.55221394 	0.94386198 	0.45227564 	0.47501028 	0.88123721 	0.86932344 	0.55865979 	0.99635892 	0.03184519 	0.45364148 	0.28769294 	0.57019851 	0.99517162 	0.05485982 	
          18 	0.88705013 	0.89419831 	0.10959736 	0.91619392 	0.12444791 	0.92875026 	0.09741714 	0.72418638 	0.05726361 	0.71417215 	0.01566599 	0.93334423 	0.32944521 	0.25511608 	0.95471951 	0.86329685 	0.33796953 	0.98589710 	0.29146249 	0.77211769 	0.49231775 	0.73575279 	0.98722557 	0.29005251 	
          19 	0.81986266 	0.57097573 	0.59298112 	0.80958613 	0.67735229 	0.89953222 	0.61262603 	0.70903165 	0.23171667 	0.44288639 	0.26355245 	0.94243512 	0.21499145 	0.07362367 	0.99055643 	0.87391337 	0.09123268 	0.98253939 	0.80656123 	0.06073746 	0.45869211 	0.88809949 	0.98155208 	0.68645952 	
          20 	0.45841905 	0.03631161 	0.79499623 	0.30464502 	0.26739074 	0.58379920 	0.02094378 	0.63539776 	0.14719080 	0.16574595 	0.67719959 	0.80856119 	0.30378403 	0.77285866 	0.95710644 	0.90735689 	0.06560290 	0.96890975 	0.44674444 	0.57538814 	0.50125877 	0.96377769 	0.94002961 	0.60752003 	
          21 	0.03473135 	0.59938297 	0.58968646 	0.64925782 	0.22026697 	0.70548379 	0.62358952 	0.54807244 	0.36472578 	0.29944092 	0.74608002 	0.91875913 	0.01879480 	0.51480126 	0.95961899 	0.94049762 	0.15334978 	0.98372957 	0.42261485 	0.88373156 	0.57049141 	0.86943983 	0.83555978 	0.32560573 	
          22 	0.00525330 	0.49230194 	0.18772396 	0.34831724 	0.73815645 	0.69208215 	0.52626072 	0.88461839 	0.25881317 	0.01272487 	0.24254381 	0.93933165 	0.11646662 	0.72866391 	0.96298714 	0.98686411 	0.36619313 	0.99276011 	0.28883798 	0.64417699 	0.29464763 	0.89346648 	0.89285247 	0.04347158 	
