#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:45:43]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
           1 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.99990000 	0.26204819 	0.31626506 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.42469880 	0.99990000 	0.94879518 	0.92168675 	0.96084337 	0.99990000 	0.99990000 	
           2 	0.99788212 	0.13487817 	0.90958131 	0.54876797 	0.98265106 	0.99982172 	0.99814380 	0.25050398 	0.30556900 	0.99987902 	0.89902019 	0.99994068 	0.99982087 	0.99966749 	0.84172462 	0.99489903 	0.99990956 	0.43984703 	0.99906580 	0.96728896 	0.90127932 	0.95794865 	0.99988632 	0.99994696 	
           3 	0.99862064 	0.12505997 	0.90584833 	0.54281916 	0.99423089 	0.99978670 	0.99878973 	0.21007109 	0.27153900 	0.99982854 	0.85976458 	0.99883759 	0.99988070 	0.99973015 	0.85486932 	0.98318564 	0.99957948 	0.37896677 	0.99926654 	0.94824445 	0.90889598 	0.95817825 	0.99949282 	0.99980991 	
           4 	0.99976030 	0.15493416 	0.92487536 	0.51292948 	0.98998997 	0.99883539 	0.99370346 	0.18630994 	0.30596215 	0.99952665 	0.88852017 	0.99807971 	0.99946159 	0.99979159 	0.87131523 	0.99341576 	0.99957710 	0.40831346 	0.99984633 	0.93850662 	0.91806124 	0.97487916 	0.99934939 	0.99772235 	
           5 	0.99948672 	0.12760823 	0.88431997 	0.49717964 	0.98855251 	0.99499005 	0.99610325 	0.32297829 	0.28351983 	0.99941993 	0.88374284 	0.99787358 	0.99924084 	0.99995774 	0.87972572 	0.98699101 	0.99994867 	0.41930410 	0.99972805 	0.91823844 	0.91210763 	0.94980313 	0.99958116 	0.99954370 	
           6 	0.99971148 	0.12559076 	0.90248774 	0.46383575 	0.99211592 	0.99937035 	0.99623957 	0.23242814 	0.28186292 	0.99672614 	0.88262316 	0.99841764 	0.99818989 	0.99996299 	0.87732501 	0.97857569 	0.99980843 	0.42635861 	0.99909600 	0.94193872 	0.89035719 	0.97141927 	0.99958892 	0.99870343 	
           7 	0.99624045 	0.15421394 	0.94185391 	0.46651892 	0.99606549 	0.99679187 	0.99920213 	0.25755408 	0.30537064 	0.99931160 	0.86720747 	0.99922444 	0.99779321 	0.99996287 	0.86167260 	0.98319108 	0.99958646 	0.44513636 	0.99877413 	0.93830278 	0.89377333 	0.94971819 	0.99991831 	0.99940430 	
           8 	0.99906609 	0.13992645 	0.90561790 	0.51468608 	0.98979508 	0.99860097 	0.99786984 	0.24501227 	0.30445032 	0.99728514 	0.87757968 	0.99970681 	0.99955437 	0.99999190 	0.87116979 	0.98720395 	0.99977855 	0.42829690 	0.99548279 	0.96819612 	0.91247396 	0.97148014 	0.99960568 	0.99853159 	
           9 	0.99941175 	0.13522806 	0.92824182 	0.51203491 	0.98507687 	0.99869953 	0.99791229 	0.23975998 	0.30065068 	0.99707438 	0.88107896 	0.99979546 	0.99975724 	0.99997304 	0.87046601 	0.99191122 	0.99986466 	0.42501792 	0.99806672 	0.95219848 	0.90889709 	0.96817407 	0.99359817 	0.99823034 	
          10 	0.99924522 	0.14310736 	0.89121040 	0.50801939 	0.98727889 	0.99829299 	0.99349241 	0.23350388 	0.29489566 	0.99257552 	0.87657100 	0.99993834 	0.99917942 	0.99999230 	0.86251750 	0.98472059 	0.99979887 	0.44943367 	0.99812231 	0.96360207 	0.90507922 	0.96791217 	0.99479105 	0.99902850 	
          11 	0.99856365 	0.14435439 	0.93796010 	0.49395339 	0.98041326 	0.99969552 	0.99832285 	0.25615155 	0.31572939 	0.99227704 	0.91767250 	0.99999105 	0.99966712 	0.99999595 	0.85831127 	0.99683855 	0.99960100 	0.39717683 	0.99860652 	0.93598897 	0.90265061 	0.95482443 	0.99678311 	0.99899006 	
          12 	0.99932203 	0.13479269 	0.92605200 	0.58426072 	0.96870137 	0.99944120 	0.99821881 	0.24783916 	0.27075935 	0.99114830 	0.89773243 	0.99998843 	0.99624076 	0.99999256 	0.89249941 	0.99330843 	0.99939798 	0.39573404 	0.99928896 	0.97129480 	0.91124752 	0.96046645 	0.99730467 	0.99704062 	
          13 	0.99665344 	0.13710783 	0.93631289 	0.57098744 	0.97844074 	0.99970835 	0.99688523 	0.24985182 	0.27271067 	0.99436338 	0.89598931 	0.99999455 	0.99645034 	0.99999695 	0.85613375 	0.99018120 	0.99907329 	0.44725831 	0.99821712 	0.92992745 	0.88238427 	0.95821387 	0.99435164 	0.99801420 	
          14 	0.99851302 	0.12126534 	0.91846771 	0.54466628 	0.98461357 	0.99775260 	0.99664358 	0.23607928 	0.30044186 	0.99247764 	0.88250666 	0.99999112 	0.99863553 	0.99999701 	0.88130996 	0.97309356 	0.99635370 	0.36667095 	0.99833197 	0.93615214 	0.90701159 	0.94616144 	0.99872001 	0.99717705 	
          15 	0.99333425 	0.15054009 	0.93469765 	0.56145932 	0.98600802 	0.99904789 	0.99933289 	0.26152904 	0.32374741 	0.99539065 	0.88642091 	0.99998026 	0.99975059 	0.99999215 	0.88011008 	0.99208937 	0.99857837 	0.39389776 	0.99923990 	0.94293895 	0.92028191 	0.95657898 	0.99378923 	0.99816803 	
          16 	0.99553796 	0.12911733 	0.92940709 	0.54005619 	0.99034494 	0.99957992 	0.99933918 	0.24290534 	0.30669280 	0.99356588 	0.86543063 	0.99994759 	0.99968942 	0.99998006 	0.87045579 	0.98424657 	0.99515667 	0.44321338 	0.99705544 	0.96058323 	0.88281117 	0.94540598 	0.99832442 	0.99884603 	
          17 	0.99832193 	0.13163680 	0.91657045 	0.48688040 	0.99454496 	0.99826878 	0.99904877 	0.25721960 	0.30869855 	0.99297948 	0.86677589 	0.99999489 	0.99940617 	0.99996639 	0.87338906 	0.98655792 	0.98868464 	0.39895799 	0.99785277 	0.95147831 	0.89199554 	0.92468881 	0.99530578 	0.99879898 	
          18 	0.99835390 	0.14518325 	0.91559951 	0.59231849 	0.99825660 	0.99579412 	0.99404932 	0.22123367 	0.31948284 	0.99269811 	0.90859522 	0.99999150 	0.99981002 	0.99971528 	0.88160379 	0.98154744 	0.98093143 	0.35624407 	0.99817370 	0.94821867 	0.91295403 	0.93886479 	0.99328912 	0.99795363 	
          19 	0.99650980 	0.14601278 	0.94881692 	0.57630088 	0.99385959 	0.99820199 	0.98918164 	0.22198940 	0.32014322 	0.99835335 	0.87124608 	0.99998925 	0.99992174 	0.99996716 	0.86591357 	0.99108570 	0.99639732 	0.44729780 	0.99722162 	0.94189232 	0.90632831 	0.95044739 	0.99496203 	0.99757816 	
