#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:44:16]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	avestan   	vedic   	oldpersian   	tocharian_b   	tocharian_a   	albanian   	greek   	]
           1 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.99990000 	0.26204819 	0.31626506 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.94879518 	0.99990000 	0.42469880 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           2 	0.99977444 	0.04399599 	0.62199481 	0.84501314 	0.95814272 	0.99984666 	0.99997190 	0.83472105 	0.29681101 	0.99975759 	0.60917319 	0.99980077 	0.99992552 	0.99951321 	0.34074464 	0.99285447 	0.99964001 	0.89154069 	0.99995117 	0.76971682 	0.95575495 	0.98190226 	0.99814463 	0.99978524 	
           3 	0.99994121 	0.02219243 	0.71701222 	0.89595145 	0.86972074 	0.99937870 	0.99997525 	0.52258844 	0.73281826 	0.99955510 	0.81988710 	0.99814780 	0.99995414 	0.99844107 	0.16521365 	0.98031020 	0.99937511 	0.68399388 	0.99979250 	0.84396317 	0.98329520 	0.45247120 	0.99941109 	0.99988514 	
           4 	0.99994950 	0.73140682 	0.93858983 	0.21319242 	0.98413197 	0.99932115 	0.99997609 	0.42082495 	0.16321045 	0.99929828 	0.76448027 	0.99836911 	0.99969441 	0.99788634 	0.56485083 	0.98293176 	0.99948586 	0.89824878 	0.99986618 	0.72703569 	0.95983766 	0.69770129 	0.99987306 	0.99995305 	
           5 	0.99997161 	0.18054532 	0.87704168 	0.31885297 	0.97303073 	0.99446625 	0.99989559 	0.31421786 	0.00577258 	0.99686131 	0.72804010 	0.97705461 	0.99972247 	0.99922237 	0.25147582 	0.99034572 	0.99757731 	0.89709492 	0.99941846 	0.71817850 	0.60609238 	0.61198211 	0.99906686 	0.99981375 	
           6 	0.99995815 	0.39385373 	0.44395881 	0.36553408 	0.97534274 	0.99100141 	0.99994626 	0.68315018 	0.01089981 	0.98875241 	0.31446667 	0.85742816 	0.99981133 	0.99682252 	0.39731301 	0.94888827 	0.98942004 	0.88435856 	0.99714996 	0.43513470 	0.49573000 	0.03801790 	0.99906687 	0.99959384 	
           7 	0.99965335 	0.49824435 	0.01506128 	0.44638281 	0.96554283 	0.99637160 	0.99972078 	0.11067368 	0.29913894 	0.93715599 	0.02902039 	0.48376060 	0.99976650 	0.99606608 	0.27685855 	0.88001458 	0.92379147 	0.65184264 	0.99548053 	0.35732844 	0.13142745 	0.39682981 	0.99693041 	0.99966767 	
           8 	0.99920934 	0.39257851 	0.09251572 	0.00577472 	0.95701534 	0.99431552 	0.99812876 	0.04131715 	0.64741572 	0.91188460 	0.54624858 	0.45888489 	0.99977925 	0.99392741 	0.48773451 	0.89327438 	0.12343095 	0.59345831 	0.98283921 	0.21581680 	0.20681977 	0.34106043 	0.99519340 	0.99890097 	
           9 	0.99676258 	0.55521600 	0.04765901 	0.43806818 	0.98780142 	0.98720810 	0.99297428 	0.49793187 	0.11624158 	0.90262019 	0.37224313 	0.39636365 	0.99952152 	0.98351475 	0.38059809 	0.86738505 	0.01340249 	0.70997394 	0.96557939 	0.18198728 	0.36356262 	0.65835872 	0.99376277 	0.99922397 	
          10 	0.98725402 	0.55840246 	0.19019398 	0.59618349 	0.89212930 	0.73715449 	0.98800791 	0.41183997 	0.37661498 	0.88002908 	0.76551352 	0.53158093 	0.99926254 	0.53928046 	0.04244114 	0.81431713 	0.01576644 	0.65057492 	0.60574088 	0.62501649 	0.79152329 	0.19770985 	0.98477323 	0.99963911 	
          11 	0.98786299 	0.70218675 	0.53603285 	0.35432167 	0.56752459 	0.78217417 	0.98130145 	0.62018652 	0.69627046 	0.81433284 	0.44685718 	0.33280236 	0.99960543 	0.58021406 	0.16653494 	0.00896650 	0.01254261 	0.68394595 	0.10504608 	0.30525834 	0.36603892 	0.10333375 	0.97925839 	0.99976239 	
          12 	0.97338477 	0.85570144 	0.51459321 	0.71708177 	0.55282056 	0.05556030 	0.91766419 	0.08531039 	0.65127513 	0.71729047 	0.20630889 	0.43674883 	0.99915615 	0.70446817 	0.30555784 	0.45879710 	0.08275687 	0.14771093 	0.50223759 	0.80353930 	0.33160821 	0.44330571 	0.84211997 	0.99928551 	
          13 	0.98518234 	0.34166631 	0.72714500 	0.87883966 	0.29558340 	0.22260817 	0.69163672 	0.45581310 	0.87235878 	0.51299799 	0.05186608 	0.15809244 	0.99961260 	0.40650249 	0.56549430 	0.78931576 	0.86958152 	0.65558161 	0.73581256 	0.60212344 	0.51552657 	0.04583988 	0.87688693 	0.99897323 	
          14 	0.97087563 	0.54606044 	0.79931592 	0.97639938 	0.28889505 	0.76308969 	0.32503063 	0.74439256 	0.94570310 	0.16632848 	0.03108300 	0.37267489 	0.99938053 	0.82695953 	0.45609913 	0.14982243 	0.93535655 	0.91556594 	0.07176415 	0.28027321 	0.38963269 	0.45861764 	0.90461054 	0.99842474 	
          15 	0.05254810 	0.54325335 	0.17863310 	0.97018539 	0.34565814 	0.28662853 	0.37322169 	0.08005375 	0.78043932 	0.18933597 	0.00957714 	0.68868254 	0.99874755 	0.93727933 	0.44574799 	0.13593451 	0.85977647 	0.66514591 	0.14648064 	0.59249573 	0.56779959 	0.54968750 	0.66005635 	0.98068732 	
          16 	0.18000366 	0.61737263 	0.20569429 	0.98004218 	0.95754052 	0.64943504 	0.07126004 	0.19147938 	0.81744044 	0.81636757 	0.62048405 	0.44822472 	0.98069100 	0.91399217 	0.03314555 	0.18242207 	0.87329281 	0.78164568 	0.37050088 	0.56005581 	0.55959194 	0.15368368 	0.57495995 	0.90769981 	
          17 	0.45108858 	0.57288058 	0.24722278 	0.94180260 	0.77568142 	0.72563798 	0.20245374 	0.02648153 	0.53503259 	0.49627543 	0.50441069 	0.00984205 	0.97169965 	0.82096709 	0.52155564 	0.17597759 	0.93919817 	0.91644933 	0.50999865 	0.76677741 	0.50674529 	0.09248080 	0.76568962 	0.85657789 	
          18 	0.11471154 	0.05700448 	0.53493838 	0.96975664 	0.80825449 	0.78339306 	0.05130045 	0.06483474 	0.30178162 	0.62520675 	0.61158934 	0.29398839 	0.93576972 	0.64139372 	0.38752174 	0.41834987 	0.99341753 	0.94297217 	0.39768701 	0.61577330 	0.57119771 	0.33336260 	0.88828259 	0.91823120 	
          19 	0.59856998 	0.05426608 	0.29638590 	0.88653432 	0.80508981 	0.69644779 	0.33513566 	0.70840488 	0.76414648 	0.67426086 	0.10082756 	0.46894745 	0.93572596 	0.66189729 	0.12016274 	0.33559623 	0.98019894 	0.79337624 	0.48107236 	0.68707241 	0.30171333 	0.80425435 	0.51956726 	0.97355048 	
          20 	0.72071204 	0.49253187 	0.45077122 	0.76926052 	0.09597458 	0.92514102 	0.01057428 	0.06058892 	0.73820622 	0.75087754 	0.45806505 	0.04913158 	0.92256568 	0.52735251 	0.36799303 	0.27958959 	0.96735018 	0.57525140 	0.42268258 	0.84547881 	0.37936631 	0.63795770 	0.02283363 	0.94518996 	
          21 	0.49835586 	0.19034877 	0.86116110 	0.52836587 	0.28990331 	0.95066738 	0.66513000 	0.22421347 	0.67502147 	0.78095697 	0.75479504 	0.75022823 	0.81367275 	0.22943230 	0.30415764 	0.57091818 	0.99188638 	0.90981322 	0.20823911 	0.93544644 	0.34446360 	0.09283169 	0.02037579 	0.81761024 	
          22 	0.55978703 	0.35234265 	0.74044303 	0.85831076 	0.29994328 	0.91703114 	0.25361197 	0.72598766 	0.26077040 	0.71266566 	0.89146798 	0.81267525 	0.88544714 	0.66911137 	0.28487993 	0.25818119 	0.96759806 	0.94292188 	0.49359057 	0.65727584 	0.49897520 	0.07370469 	0.10072987 	0.86738342 	
          23 	0.70276037 	0.65434019 	0.84458967 	0.86624756 	0.54348788 	0.84629108 	0.85165058 	0.83763505 	0.48624755 	0.95364628 	0.67328225 	0.80367537 	0.92807173 	0.78782085 	0.33586617 	0.73694573 	0.87458498 	0.83218137 	0.24609167 	0.41944843 	0.10958377 	0.08637219 	0.91753388 	0.57630837 	
          24 	0.46932281 	0.85258324 	0.98037581 	0.93138473 	0.73612987 	0.63882686 	0.93962444 	0.88194992 	0.59264883 	0.78886960 	0.49277849 	0.23731763 	0.94210283 	0.17055638 	0.20873883 	0.36295753 	0.88748617 	0.21399469 	0.14127210 	0.49642057 	0.39894599 	0.01678764 	0.91123185 	0.64214493 	
          25 	0.37308938 	0.91682073 	0.93867573 	0.74720896 	0.31018699 	0.71664310 	0.93177752 	0.81147113 	0.34461160 	0.47297716 	0.09046229 	0.08687735 	0.50193469 	0.40217843 	0.62693860 	0.42174402 	0.58125173 	0.00958887 	0.21938245 	0.44801810 	0.73305481 	0.40706116 	0.71423730 	0.71706448 	
          26 	0.61412137 	0.92946685 	0.93574430 	0.77555598 	0.76251669 	0.71042304 	0.86450891 	0.72492614 	0.58863418 	0.83501987 	0.50522616 	0.33936746 	0.05999569 	0.66169058 	0.88621982 	0.60962273 	0.37711589 	0.04638839 	0.04157978 	0.51163855 	0.94829791 	0.45406020 	0.87520634 	0.89221612 	
          27 	0.57513601 	0.94348824 	0.90851658 	0.93793290 	0.73680700 	0.04603603 	0.40847181 	0.54020684 	0.83105567 	0.35799859 	0.08319771 	0.00488537 	0.29548045 	0.70078457 	0.54370646 	0.40503714 	0.27649906 	0.37538132 	0.89471840 	0.65459710 	0.82193450 	0.42782053 	0.36113952 	0.84943311 	
          28 	0.35577120 	0.96962180 	0.95802095 	0.87803340 	0.93662096 	0.49805906 	0.22351984 	0.60055669 	0.93790039 	0.66417029 	0.32960610 	0.42437523 	0.05850586 	0.54395824 	0.39915203 	0.12446402 	0.24153357 	0.00004178 	0.84649768 	0.23036339 	0.44089448 	0.36429136 	0.39140679 	0.16985798 	
          29 	0.77883006 	0.97110976 	0.91735206 	0.87565456 	0.78886029 	0.05433299 	0.92788043 	0.83285706 	0.92309898 	0.44178888 	0.35238578 	0.77764614 	0.17429981 	0.60620332 	0.72544476 	0.84824219 	0.92856681 	0.48747974 	0.26697687 	0.09730205 	0.71242210 	0.23351770 	0.55601327 	0.22071063 	
          30 	0.63184668 	0.91512261 	0.98358591 	0.91730926 	0.36249127 	0.30698804 	0.66824122 	0.82285457 	0.74384868 	0.51586686 	0.33722418 	0.77726560 	0.51720371 	0.63053402 	0.27968390 	0.97236358 	0.79315492 	0.75593520 	0.13830078 	0.47217492 	0.84252644 	0.84411217 	0.76975598 	0.38776717 	
          31 	0.85237782 	0.95579619 	0.97991069 	0.83782430 	0.75596775 	0.52431689 	0.21877971 	0.89301423 	0.25907730 	0.88719579 	0.00976706 	0.05644347 	0.24808789 	0.40726456 	0.70232675 	0.97867525 	0.71034480 	0.61166121 	0.05990708 	0.23899365 	0.84508478 	0.92352011 	0.54616095 	0.58635358 	
          32 	0.13575886 	0.98862311 	0.92039656 	0.94774072 	0.51001813 	0.35550290 	0.40681993 	0.81017423 	0.09072609 	0.71689398 	0.44261052 	0.07650246 	0.26753311 	0.00404435 	0.17156674 	0.90342345 	0.02982075 	0.15843847 	0.57991269 	0.39080271 	0.84527987 	0.88093902 	0.14265375 	0.35740612 	
          33 	0.32469348 	0.98791578 	0.93118141 	0.98769984 	0.66995172 	0.15228510 	0.26347206 	0.87664029 	0.68788605 	0.17106489 	0.43801438 	0.67601867 	0.13635848 	0.19716086 	0.15329477 	0.97011985 	0.10561267 	0.20174488 	0.41865306 	0.55505044 	0.78270479 	0.83096168 	0.66681738 	0.59728061 	
          34 	0.24326285 	0.98912245 	0.79926503 	0.98873942 	0.07315854 	0.33458548 	0.94017644 	0.63225593 	0.88269642 	0.48514838 	0.46277834 	0.68437470 	0.13590049 	0.61300041 	0.86636371 	0.96032498 	0.18082495 	0.60518556 	0.26623966 	0.39049995 	0.86539096 	0.83500415 	0.15504892 	0.20820690 	
