#NEXUS

[1 samples from mcmc run generated by language trees. File written 05-Aug-2021 15:20:32]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
           1 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.99990000 	0.26204819 	0.31626506 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.42469880 	0.99990000 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           2 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.99984914 	0.26204819 	0.31626506 	0.99990000 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.98843402 	0.99990000 	0.42469880 	0.99990000 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           3 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.99986136 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.98843402 	0.99992319 	0.42469880 	0.99981867 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           4 	0.99990000 	0.13554217 	0.92168675 	0.54216867 	0.99096386 	0.99990000 	0.99986136 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99167967 	0.99992319 	0.42469880 	0.99981867 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           5 	0.99990000 	0.13554217 	0.91700752 	0.54216867 	0.99096386 	0.99990861 	0.99986136 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99167967 	0.99992319 	0.42469880 	0.99981867 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           6 	0.99990000 	0.13554217 	0.91700752 	0.54216867 	0.99096386 	0.99990861 	0.99986136 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99167967 	0.99992319 	0.42142162 	0.99981867 	0.94879518 	0.96084337 	0.93892001 	0.99990000 	0.99990000 	
           7 	0.99990000 	0.13554217 	0.91700752 	0.54216867 	0.99096386 	0.99990861 	0.99988291 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99355699 	0.99992319 	0.42142162 	0.99981867 	0.94879518 	0.96084337 	0.90979398 	0.99980311 	0.99990000 	
           8 	0.99990000 	0.13554217 	0.91700752 	0.54216867 	0.99096386 	0.99990861 	0.99989070 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99355699 	0.99992319 	0.42142162 	0.99981542 	0.94879518 	0.96084337 	0.90979398 	0.99980311 	0.99990000 	
           9 	0.99990000 	0.13554217 	0.91700752 	0.54216867 	0.99077548 	0.99990861 	0.99989070 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99074069 	0.99992319 	0.42142162 	0.99981542 	0.94879518 	0.96084337 	0.90979398 	0.99980311 	0.99990000 	
          10 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.99251248 	0.99990861 	0.99989070 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99990000 	0.99990000 	0.87349398 	0.99074069 	0.99992319 	0.42142162 	0.99981542 	0.94879518 	0.96084337 	0.90979398 	0.99980311 	0.99990000 	
          11 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.99251248 	0.99991105 	0.99989070 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99981107 	0.99990000 	0.87349398 	0.98956810 	0.99992319 	0.42142162 	0.99981542 	0.94879518 	0.96084337 	0.90979398 	0.99980311 	0.99990000 	
          12 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.99251248 	0.99993266 	0.99989070 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99981107 	0.99992659 	0.87349398 	0.99044520 	0.99992319 	0.42142162 	0.99973552 	0.94879518 	0.96084337 	0.90979398 	0.99988868 	0.99990000 	
          13 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.98573801 	0.99993266 	0.99989070 	0.26204819 	0.31626506 	0.99986347 	0.89156627 	0.99994753 	0.99981107 	0.99992659 	0.87349398 	0.99044520 	0.99992319 	0.42142162 	0.99952502 	0.94879518 	0.96084337 	0.90979398 	0.99988868 	0.99992249 	
          14 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.98573801 	0.99993266 	0.99989604 	0.26204819 	0.31626506 	0.99979362 	0.89156627 	0.99994753 	0.99981107 	0.99992659 	0.87349398 	0.99044520 	0.99989108 	0.42142162 	0.99952502 	0.94879518 	0.96084337 	0.90979398 	0.99988868 	0.99992249 	
          15 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.98573801 	0.99993266 	0.99988802 	0.26204819 	0.31626506 	0.99979362 	0.89156627 	0.99994753 	0.99981107 	0.99992659 	0.87349398 	0.98636401 	0.99989108 	0.42142162 	0.99952502 	0.94879518 	0.96084337 	0.90979398 	0.99988868 	0.99992249 	
          16 	0.99990000 	0.13554217 	0.91700752 	0.50170894 	0.98573801 	0.99992366 	0.99988802 	0.26204819 	0.31626506 	0.99979362 	0.89156627 	0.99994753 	0.99981107 	0.99992659 	0.87349398 	0.98636401 	0.99989108 	0.42142162 	0.99952502 	0.94879518 	0.94470113 	0.90979398 	0.99988868 	0.99992249 	
          17 	0.99990000 	0.13554217 	0.94269832 	0.50170894 	0.98573801 	0.99995039 	0.99988802 	0.26204819 	0.31626506 	0.99987925 	0.89156627 	0.99994753 	0.99956454 	0.99992659 	0.87349398 	0.98636401 	0.99989108 	0.42142162 	0.99940702 	0.94879518 	0.94470113 	0.90979398 	0.99988868 	0.99992249 	
          18 	0.99990000 	0.13554217 	0.94269832 	0.50170894 	0.98573801 	0.99991802 	0.99988802 	0.26204819 	0.31626506 	0.99987925 	0.89156627 	0.99994753 	0.99956454 	0.99992659 	0.87349398 	0.98636401 	0.99989108 	0.42142162 	0.99940702 	0.94879518 	0.94470113 	0.90979398 	0.99988868 	0.99992249 	
          19 	0.99990000 	0.13554217 	0.94269832 	0.50170894 	0.98573801 	0.99991802 	0.99988802 	0.26204819 	0.31626506 	0.99987925 	0.89156627 	0.99994753 	0.99954108 	0.99992659 	0.87349398 	0.98636401 	0.99989108 	0.42142162 	0.99940702 	0.94879518 	0.94470113 	0.90979398 	0.99988868 	0.99992249 	
          20 	0.99990000 	0.13554217 	0.94269832 	0.50170894 	0.98573801 	0.99991802 	0.99988802 	0.26204819 	0.31626506 	0.99987925 	0.89156627 	0.99994753 	0.99954108 	0.99992659 	0.87349398 	0.99101665 	0.99989108 	0.42142162 	0.99940702 	0.94879518 	0.94470113 	0.90979398 	0.99988868 	0.99995331 	
          21 	0.99990000 	0.13554217 	0.94269832 	0.50170894 	0.98573801 	0.99991802 	0.99988802 	0.26204819 	0.31626506 	0.99987925 	0.90926577 	0.99996061 	0.99954108 	0.99992659 	0.87349398 	0.99101665 	0.99989108 	0.42142162 	0.99940702 	0.94879518 	0.94470113 	0.90979398 	0.99988868 	0.99995331 	
          22 	0.99990000 	0.13554217 	0.94269832 	0.51041072 	0.98573801 	0.99991802 	0.99983956 	0.26204819 	0.31626506 	0.99987925 	0.90926577 	0.99996061 	0.99954108 	0.99992659 	0.87349398 	0.99101665 	0.99989108 	0.42142162 	0.99930049 	0.94879518 	0.94470113 	0.90979398 	0.99990085 	0.99995331 	
          23 	0.99993186 	0.13554217 	0.94269832 	0.51041072 	0.98573801 	0.99991802 	0.99983956 	0.26204819 	0.31626506 	0.99987925 	0.90926577 	0.99996061 	0.99954108 	0.99992659 	0.87349398 	0.99101665 	0.99992072 	0.42142162 	0.99930049 	0.94879518 	0.94470113 	0.90979398 	0.99990085 	0.99995331 	
          24 	0.99993186 	0.13554217 	0.94269832 	0.51041072 	0.98573801 	0.99991802 	0.99983956 	0.26204819 	0.31626506 	0.99987925 	0.90926577 	0.99996061 	0.99925537 	0.99992659 	0.87349398 	0.99101665 	0.99992072 	0.42142162 	0.99954795 	0.94879518 	0.94470113 	0.90979398 	0.99990085 	0.99995331 	
          25 	0.99993263 	0.14528568 	0.94334418 	0.51592900 	0.98589876 	0.99994775 	0.99984137 	0.27036582 	0.32397160 	0.99988061 	0.90450086 	0.99996105 	0.99926377 	0.99992742 	0.87491986 	0.99111790 	0.99992161 	0.42794291 	0.99955304 	0.94937232 	0.94532441 	0.91081071 	0.99990196 	0.99995384 	
          26 	0.99993263 	0.14528568 	0.94334418 	0.51592900 	0.98589876 	0.99994775 	0.99984137 	0.27036582 	0.32397160 	0.99984980 	0.85826470 	0.99996105 	0.99918515 	0.99993313 	0.87491986 	0.99111790 	0.99992161 	0.42794291 	0.99961828 	0.94937232 	0.94532441 	0.91081071 	0.99990196 	0.99993298 	
