#NEXUS

[1 samples from mcmc run generated by language trees. File written 11-Aug-2021 13:44:13]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
           1 	0.99990000 	0.13554217 	0.54216867 	0.92168675 	0.99096386 	0.99990000 	0.99990000 	0.26204819 	0.31626506 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.42469880 	0.99990000 	0.94879518 	0.96084337 	0.92168675 	0.99990000 	0.99990000 	
           2 	0.99990000 	0.13554217 	0.54216867 	0.92168675 	0.99096386 	0.99985363 	0.99990000 	0.26204819 	0.40110486 	0.99990000 	0.89156627 	0.99990000 	0.99990000 	0.99990000 	0.87349398 	0.99096386 	0.99990000 	0.42469880 	0.99993071 	0.94879518 	0.94497561 	0.92168675 	0.99990000 	0.99990000 	
           3 	0.99990722 	0.13966316 	0.57523217 	0.92734234 	0.99161642 	0.99986420 	0.99990722 	0.31534132 	0.44435565 	0.99987565 	0.89939709 	0.99990722 	0.99990722 	0.99990722 	0.88262994 	0.99161642 	0.99993576 	0.46624569 	0.99993572 	0.95249307 	0.94894934 	0.92734234 	0.99990722 	0.99990722 	
           4 	0.99989688 	0.04378475 	0.52789482 	0.91924517 	0.99068213 	0.99984906 	0.99989688 	0.23904099 	0.38243305 	0.99986180 	0.88818561 	0.99989688 	0.99989688 	0.99993161 	0.86954988 	0.99068213 	0.99992860 	0.42945388 	0.99992855 	0.94719876 	0.93112105 	0.91924517 	0.99989688 	0.99989688 	
           5 	0.99989688 	0.04378475 	0.56987374 	0.91924517 	0.99068213 	0.99984906 	0.99989688 	0.23904099 	0.38243305 	0.99986180 	0.88818561 	0.99989688 	0.99989688 	0.99993161 	0.86954988 	0.99099945 	0.99990954 	0.42945388 	0.99986888 	0.94719876 	0.93112105 	0.91924517 	0.99989688 	0.99989688 	
           6 	0.99989688 	0.04378475 	0.56987374 	0.91924517 	0.99068213 	0.99984906 	0.99989688 	0.23904099 	0.38243305 	0.99986180 	0.88818561 	0.99989688 	0.99989688 	0.99993161 	0.86954988 	0.99099945 	0.99990954 	0.42945388 	0.99986888 	0.94719876 	0.94296972 	0.93409233 	0.99989688 	0.99989688 	
           7 	0.99989688 	0.04378475 	0.56987374 	0.91924517 	0.99068213 	0.99984906 	0.99989688 	0.24094196 	0.38243305 	0.99986180 	0.88818561 	0.99989688 	0.99989688 	0.99993161 	0.86954988 	0.99099945 	0.99990954 	0.42945388 	0.99986888 	0.94719876 	0.94296972 	0.93409233 	0.99989688 	0.99989688 	
           8 	0.99989688 	0.04378475 	0.53072969 	0.91924517 	0.99068213 	0.99984906 	0.99989688 	0.24094196 	0.38243305 	0.99986180 	0.88818561 	0.99989688 	0.99981093 	0.99993161 	0.86954988 	0.99099945 	0.99990954 	0.31627721 	0.99986888 	0.94719876 	0.94296972 	0.88253519 	0.99988646 	0.99983198 	
           9 	0.99986427 	0.04378475 	0.58409952 	0.91924517 	0.99068213 	0.99984906 	0.99989688 	0.24094196 	0.38243305 	0.99979166 	0.88818561 	0.99989688 	0.99981093 	0.99993161 	0.86954988 	0.99099945 	0.99990954 	0.31627721 	0.99986888 	0.94719876 	0.94296972 	0.88253519 	0.99988646 	0.99983198 	
          10 	0.99986427 	0.04378475 	0.58409952 	0.95294738 	0.99068213 	0.99984906 	0.99984744 	0.24094196 	0.38243305 	0.99979166 	0.88818561 	0.99989688 	0.99981093 	0.99993161 	0.86954988 	0.99099945 	0.99991432 	0.31627721 	0.99986888 	0.94719876 	0.94296972 	0.88253519 	0.99988646 	0.99983198 	
